protocol,dataset,ticker,price_mode,horizon,feature_set,model_type,model,seed,test_units,test_RMSE,test_MAE,test_MAPE,latest_RMSE,latest_MAE,latest_MAPE,RMSE_ratio_vs_latest,MAE_ratio_vs_latest,MAPE_ratio_vs_latest,passes_latest_rmse_gate,dataset_label
full rolling-origin supervised audit,dow30,MMM,adjusted_close,5,ohlcv,gru,GRU,777.0,569,5.906481501727827,4.209535099291005,3.2108502280143973,5.353346381414506,3.793475668962475,2.850034806707801,1.1033251130981676,1.1096776325027342,1.1266003560578932,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,adjusted_close,5,ohlcv,dlinear,DLinear,42.0,569,6.245203185841368,4.559777941980345,3.493731829581899,5.353346381414506,3.793475668962475,2.850034806707801,1.166598000742707,1.2020053217390096,1.2258558461668967,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,adjusted_close,5,ohlcv,dlinear,DLinear,123.0,569,6.188160160624549,4.480946693353368,3.4042528946375663,5.353346381414506,3.793475668962475,2.850034806707801,1.1559424180188134,1.1812245772434116,1.1944601120749,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,adjusted_close,5,ohlcv,dlinear,DLinear,777.0,569,6.520107825664973,4.7608976447938405,3.5951127696842677,5.353346381414506,3.793475668962475,2.850034806707801,1.2179499253590564,1.255022586212068,1.2614276714175074,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,adjusted_close,5,technical,lstm,LSTM,42.0,562,6.840248662718421,5.132669971506791,3.839386302608452,5.353346381414506,3.793475668962475,2.850034806707801,1.2777519284883323,1.35302567339534,1.3471366362165569,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,adjusted_close,5,technical,lstm,LSTM,123.0,562,6.902723184153257,5.197189521110779,3.898575580574368,5.353346381414506,3.793475668962475,2.850034806707801,1.289422109527193,1.3700337038229171,1.3679045502878548,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,adjusted_close,5,technical,lstm,LSTM,777.0,562,6.626542823549942,4.871245645543435,3.647581547497244,5.353346381414506,3.793475668962475,2.850034806707801,1.2378318814855056,1.2841114773449258,1.2798375440581806,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,adjusted_close,5,technical,gru,GRU,42.0,562,9.050382663740164,7.268435997470842,5.522766829508173,5.353346381414506,3.793475668962475,2.850034806707801,1.6906028526681651,1.916036013342555,1.9377892566469253,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,adjusted_close,5,technical,gru,GRU,123.0,562,5.817312566555295,4.233395763139283,3.174922248743781,5.353346381414506,3.793475668962475,2.850034806707801,1.0866684410243963,1.1159675539179423,1.1139942014993396,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,adjusted_close,5,technical,gru,GRU,777.0,562,6.236952284040334,4.623904923951499,3.514804937242165,5.353346381414506,3.793475668962475,2.850034806707801,1.165056740152942,1.2189098672184573,1.233249828728327,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,adjusted_close,5,technical,dlinear,DLinear,42.0,562,10.4633058085252,8.191724431048085,6.1542044610071365,5.353346381414506,3.793475668962475,2.850034806707801,1.9545355489887983,2.159424534621713,2.1593436145140017,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,adjusted_close,5,technical,dlinear,DLinear,123.0,562,9.549998733241946,7.468551092724783,5.679339628797842,5.353346381414506,3.793475668962475,2.850034806707801,1.783930658101478,1.9687884527192576,1.992726410018232,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,adjusted_close,5,technical,dlinear,DLinear,777.0,562,9.869259238511674,7.77317587421458,5.989932739682494,5.353346381414506,3.793475668962475,2.850034806707801,1.8435682160928908,2.049090742248141,2.1017051179812523,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,adjusted_close,10,ohlcv,lstm,LSTM,42.0,568,8.74097501586984,6.882198253148038,5.38536510034943,7.250162920758098,5.40250592836192,4.101795590241688,1.2056246337366248,1.273889995570032,1.3129286874171395,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,adjusted_close,10,ohlcv,lstm,LSTM,123.0,568,8.929139910317414,6.999063787326007,5.43843984777719,7.250162920758098,5.40250592836192,4.101795590241688,1.231577829065358,1.2955217227217692,1.3258680809729828,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,adjusted_close,10,ohlcv,lstm,LSTM,777.0,568,9.520968775198996,7.628114391380633,5.903397864278949,7.250162920758098,5.40250592836192,4.101795590241688,1.31320756226585,1.4119585415602742,1.4392228316601965,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,adjusted_close,10,ohlcv,gru,GRU,42.0,568,8.419597870346493,6.518127616022674,4.931488597725487,7.250162920758098,5.40250592836192,4.101795590241688,1.1612977477016635,1.2065007799073382,1.2022755618192351,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,adjusted_close,10,ohlcv,gru,GRU,123.0,568,10.572441704198187,8.541362158009704,6.380274047109897,7.250162920758098,5.40250592836192,4.101795590241688,1.4582350520604166,1.581000052803183,1.555483179680818,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,adjusted_close,10,ohlcv,gru,GRU,777.0,568,8.198772034517107,6.279440114195918,4.828221339173737,7.250162920758098,5.40250592836192,4.101795590241688,1.1308396961733131,1.1623198932980885,1.1770994514354254,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,adjusted_close,10,ohlcv,dlinear,DLinear,42.0,568,8.185649777209038,6.238882145411532,4.754196813047166,7.250162920758098,5.40250592836192,4.101795590241688,1.129029770320406,1.1548126421590448,1.159052592566427,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,adjusted_close,10,ohlcv,dlinear,DLinear,123.0,568,7.7237027993953,5.813778125064474,4.454545011960714,7.250162920758098,5.40250592836192,4.101795590241688,1.065314377595764,1.0761261907263198,1.08599878125527,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,adjusted_close,10,ohlcv,dlinear,DLinear,777.0,568,7.77251856294497,5.8086778210922025,4.47259943304458,7.250162920758098,5.40250592836192,4.101795590241688,1.072047435057122,1.075182128093182,1.0904003709217125,0,Dow 30
full rolling-origin supervised audit,dow30,MMM,adjusted_close,10,technical,lstm,LSTM,42.0,561,8.337717336598951,6.4755122682840005,4.937119915384807,7.250162920758098,5.40250592836192,4.101795590241688,1.150004134766,1.198612709388997,1.2036484526753075,0,Dow 30
