completed_at,dataset,ticker,price_mode,horizon,model_type,model_id,max_origins,context_length,num_samples,device,test_origins,test_RMSE,test_MAE,test_MAPE,latest_RMSE,latest_MAE,latest_MAPE,RMSE_ratio_vs_latest,MAE_ratio_vs_latest,MAPE_ratio_vs_latest,passes_latest_rmse_gate
2026-05-18T22:48:47,hang_seng_largecap,0002.HK,raw_close,1,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,558,0.6566591315035643,0.48015802308222727,0.7206219395193108,0.6204404252930712,0.44910396726327995,0.6740804821306015,1.0583758000510441,1.069146696717427,1.0690443628357305,0
2026-05-18T22:48:49,hang_seng_largecap,0002.HK,raw_close,5,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,557,1.3001605487731989,1.007151934146025,1.5102130500457385,1.2560429026417494,0.9702873093007497,1.4565373841299702,1.0351243146541091,1.0379935143868289,1.0368515538980347,0
2026-05-18T22:48:53,hang_seng_largecap,0002.HK,raw_close,10,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,556,1.8215282879343366,1.4200128994399694,2.123753233847495,1.6982206025224407,1.3272482508378063,1.9820792592325764,1.0726099337322499,1.0698924625017263,1.071477451749216,0
2026-05-18T22:48:54,hang_seng_largecap,0002.HK,adjusted_close,1,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,558,0.5805643708793417,0.43706443403784084,0.6973111324772985,0.5633226471683744,0.41028726229103657,0.6547417244892826,1.0306071907416385,1.0652644481266151,1.0650170997139692,0
2026-05-18T22:48:56,hang_seng_largecap,0002.HK,adjusted_close,5,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,557,1.1888040903010015,0.9234161856358526,1.4754157481142263,1.1531867641148166,0.8947237107227264,1.4268595524888912,1.0308859998176658,1.0320685308428335,1.0340301156765135,0
2026-05-18T22:49:00,hang_seng_largecap,0002.HK,adjusted_close,10,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,556,1.6075360910075351,1.2379635117894454,1.9710880779639883,1.558240090853934,1.2027588988379607,1.9047816726325446,1.0316356898034797,1.0292698835863925,1.0348105015310252,0
2026-05-18T22:49:09,etf_basket,SPY,raw_close,1,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,570,5.961671945740021,4.183871406421327,0.7085451085327383,5.8186588748914945,3.9598774157072367,0.6717341253427926,1.0245783562713484,1.0565658901019501,1.054799930212211,0
2026-05-18T22:49:11,etf_basket,SPY,raw_close,5,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,569,12.320733611685904,9.210373005255246,1.5601142448920862,12.051439633302731,9.049349283711143,1.5345570116363156,1.022345378359529,1.0177939558409959,1.0166544697016624,0
2026-05-18T22:49:15,etf_basket,SPY,raw_close,10,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,568,16.405444825132445,12.177725617314728,2.0700112784904587,16.633133882809396,12.594031213035047,2.1392219491115734,0.9863111149539732,0.9669442143918593,0.967646802310598,1
2026-05-18T22:49:16,etf_basket,SPY,adjusted_close,1,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,570,5.920184557386228,4.107784177545916,0.7061994690941469,5.747964205023372,3.9034067254317444,0.6702429061002487,1.0299619737040717,1.0523587385302684,1.0536470623808738,0
2026-05-18T22:49:19,etf_basket,SPY,adjusted_close,5,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,569,12.225243716937392,9.133657445388016,1.5682053099154651,11.939493747514236,8.98377339073141,1.542672736584208,1.0239331730026366,1.0166838641334432,1.016550868324666,0
2026-05-18T22:49:23,etf_basket,SPY,adjusted_close,10,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,568,16.64445014640005,12.288800414179413,2.114233225227793,16.494945703593025,12.548303792174433,2.158850190141191,1.0090636517084417,0.9793196449262843,0.9793329962786903,0
2026-05-18T22:49:24,etf_basket,QQQ,raw_close,1,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,570,6.7249165699620495,4.921109811883223,0.9511899954924626,6.518011266204133,4.664544410036322,0.9037856413599675,1.0317436247511138,1.0550033142132533,1.0524508821153251,0
2026-05-18T22:49:26,etf_basket,QQQ,raw_close,5,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,569,14.359401700628686,11.045730617637165,2.1385088434823665,13.807445381059683,10.718735143463725,2.072173013000006,1.0399752672805171,1.030506908678758,1.0320126891269192,0
2026-05-18T22:49:30,etf_basket,QQQ,raw_close,10,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,568,19.804700949006946,14.736513379593971,2.8557654804562858,19.305466248740604,14.730071161834287,2.845569129307481,1.0258597587768132,1.0004373514349596,1.0035832378991567,0
2026-05-18T22:49:31,etf_basket,QQQ,adjusted_close,1,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,570,6.693641303341157,4.849817537006579,0.9476283811240755,6.489558769577218,4.6469043932463,0.90535634421428,1.0314478288910287,1.0436663048319195,1.0466910484252272,0
2026-05-18T22:49:34,etf_basket,QQQ,adjusted_close,5,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,569,14.325873236059811,10.955401965310578,2.132950238142719,13.74783139790728,10.672886960745277,2.074800673240484,1.0420460377656742,1.0264703454280353,1.0280265789635663,0
2026-05-18T22:49:38,etf_basket,QQQ,adjusted_close,10,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,568,20.203383305573396,14.96874570174956,2.915951759848223,19.224916116348826,14.687791421379842,2.8533801854235255,1.050895784579912,1.019128422531978,1.02192893002634,0
